id,review_id,platform,source,lang,detected_lang,is_hinglish,content,cleaned_content,text_for_model,score,star_bucket,thumbs_up,high_engagement,review_length,at,week,year_month,app_version,kmeans_cluster,cluster_name,hdbscan_cluster,hdbscan_is_noise,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10,isolation_anomaly,isolation_score,ocsvm_anomaly,ocsvm_score,tier1_critical,severity,severity_label_weak,severity_label_gold,gold_split,severity_label_ml,severity_score_ml,route_category,route_confidence,churn_risk_score,churn_risk_label,suggested_response,response_quality_score
0,b2d99a0b-c694-4518-8da0-64e1c9a1f7a6,Myntra,google_play,en,en,False,worst app I ever seen they mentioned return option but they are not taking return it's still one month I received very bad product even I couldn't see that cheap product anywhere such a quality less materials they provide and not taking return and they are drinking my amount cheepe and cheeep 1000..... times they are officially begging and taking my amount such a bad beggars I ever seen bloody begging app. don't buy products all middle class people loss their amount by beggars plan,worst app i ever seen they mentioned return option but they are not taking return it's still one month i received very bad product even i couldn't see that cheap product anywhere such a quality less materials they provide and not taking return and they are drinking my amount cheepe and cheeep 1000.. times they are officially begging and taking my amount such a bad beggars i ever seen bloody begging app. don't buy products all middle class people loss their amount by beggars plan,worst app i ever seen they mentioned return option but they are not taking return it's still one month i received very bad product even i couldn't see that cheap product anywhere such a quality less materials they provide and not taking return and they are drinking my amount cheepe and cheeep 1000.. times they are officially begging and taking my amount such a bad beggars i ever seen bloody begging app. don't buy products all middle class people loss their amount by beggars plan,1,complaint,0,False,85,2026-04-02 23:04:50+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22,0,Delivery Failure,3,False,5.176898,3.3820999,5.034628,6.5452394,1.7520788,7.432936,5.988377,2.4788578,3.4636576,6.104402,False,-0.0915077709548424,False,0.0,False,GREEN,1,1,train,Medium,0.9999989142869108,Delivery Failure,0.8978139724739448,0.0,Low,We are sorry for this experience regarding Delivery Failure. Please share your order ID via in-app support so our team can resolve this quickly.,0.5657894736842105
1,4dbb3cea-e9cf-4f0e-ad1f-9502e8879fae,Myntra,google_play,en,no,False,best app for shopping,best app for shopping,best app for shopping,5,positive,0,False,4,2026-04-02 23:03:56+00:00,2026-03-30/2026-04-05,2026-04,4.2603.20,2,Fake/Counterfeit Product,10,False,3.467647,7.3844633,1.4958262,4.468774,2.5271847,6.9794602,5.7629967,2.5459127,3.7360673,4.7611446,False,-0.0633092552741165,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Fake/Counterfeit Product,0.9983457573523332,0.0,Low,We are sorry for this experience regarding Fake/Counterfeit Product. Please share your order ID via in-app support so our team can resolve this quickly.,0.7749999999999999
2,f992dc8a-a0aa-47db-93ff-7ba122db7d72,Myntra,google_play,en,fi,False,Asistakarktta asistakarktta asistakarktta,asistakarktta asistakarktta asistakarktta,asistakarktta asistakarktta asistakarktta,5,positive,0,False,3,2026-04-02 22:57:50+00:00,2026-03-30/2026-04-05,2026-04,4.2603.20,1,Refund & Payment Issues,2,False,9.207321,5.081436,1.1232615,6.694811,2.4903672,6.016984,5.000401,2.1039531,2.4121423,4.3385825,False,-0.0748231965177882,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Refund & Payment Issues,0.8709697193115788,0.0,Low,We are sorry for this experience regarding Refund & Payment Issues. Please share your order ID via in-app support so our team can resolve this quickly.,0.55
3,1cba14fa-b4b9-4f04-99c4-70b44dc906a7,Myntra,google_play,en,af,False,Very Good App,very good app,very good app,5,positive,0,False,3,2026-04-02 22:44:48+00:00,2026-03-30/2026-04-05,2026-04,4.2603.20,2,Fake/Counterfeit Product,8,False,2.4208457,8.0298815,2.0373862,5.306376,2.710263,6.6383653,6.2532587,2.1825044,4.3302255,6.227117,False,-0.0573909584506902,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Fake/Counterfeit Product,0.9684399512204658,0.0,Low,We are sorry for this experience regarding Fake/Counterfeit Product. Please share your order ID via in-app support so our team can resolve this quickly.,0.7
4,6850330e-91b3-4408-9175-52a4f80fe875,Myntra,google_play,en,en,False,Wonderful experience of shopping with Myntra.,wonderful experience of shopping with myntra.,wonderful experience of shopping with myntra.,5,positive,0,False,6,2026-04-02 22:44:33+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,9,False,4.584427,6.904852,1.1098958,5.0027976,2.2369878,7.083876,5.6252456,2.6465998,3.6491969,4.640012,False,-0.0891330930220203,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Fake/Counterfeit Product,0.9184567028839836,0.0,Low,We are sorry for this experience regarding Fake/Counterfeit Product. Please share your order ID via in-app support so our team can resolve this quickly.,0.625
5,ad78e733-66f1-4d15-b3f9-98304ec85c30,Myntra,google_play,en,en,False,very nice good product nice qwlity,very nice good product nice qwlity,very nice good product nice qwlity,5,positive,0,False,6,2026-04-02 22:37:08+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,3,App Crash / UX Bug,6,False,5.165161,6.0758357,0.37030295,6.7122188,2.2923527,7.1775637,5.7237473,2.4969568,3.9572833,5.3357515,False,-0.099629831349486,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,App Crash / UX Bug,0.9823103561713118,0.0,Low,We are sorry for this experience regarding App Crash / UX Bug. Please share your order ID via in-app support so our team can resolve this quickly.,0.55
6,240b88ed-8817-4f81-9306-81492d10f60a,Myntra,google_play,en,en,False,fabulous experience... whatever I buyed it I get best ✨,fabulous experience... whatever i buyed it i get best,fabulous experience... whatever i buyed it i get best,5,positive,0,False,9,2026-04-02 22:27:37+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22,2,Fake/Counterfeit Product,-1,True,4.785197,6.739348,1.1602807,5.1319404,2.1944973,7.0661216,5.5967793,2.6661656,3.5145442,4.6011286,False,-0.0954568057047317,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,App Crash / UX Bug,0.7809116206712803,0.0,Low,We are sorry for this experience regarding App Crash / UX Bug. Please share your order ID via in-app support so our team can resolve this quickly.,0.60625
7,4073ad96-cec6-470a-8c17-efe9a3bc33f2,Myntra,google_play,en,en,False,good experience with this app,good experience with this app,good experience with this app,5,positive,0,False,5,2026-04-02 22:26:37+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,8,False,2.4354582,8.039862,2.1721687,5.1122236,2.796163,6.7266917,6.2564764,2.093336,4.343235,6.1350684,False,-0.0482593228990884,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Fake/Counterfeit Product,0.958586929271324,0.0,Low,We are sorry for this experience regarding Fake/Counterfeit Product. Please share your order ID via in-app support so our team can resolve this quickly.,0.8200000000000001
8,f91c7eaf-176b-4090-a194-7dfdc20153da,Myntra,google_play,en,en,False,good experience and pretty fast delivery,good experience and pretty fast delivery,good experience and pretty fast delivery,4,positive,0,False,6,2026-04-02 22:24:36+00:00,2026-03-30/2026-04-05,2026-04,,0,Delivery Failure,3,False,6.018154,4.4729767,2.335943,6.644412,1.2569666,7.4668245,5.8697677,2.9921772,3.8761344,5.4518414,False,-0.071654006882771,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,App Crash / UX Bug,0.7113548317205057,0.0,Low,We are sorry for this experience regarding App Crash / UX Bug. Please share your order ID via in-app support so our team can resolve this quickly.,0.625
9,82c15c6c-89d2-4df8-a5af-38a99cc19934,Myntra,google_play,en,en,False,good for cloths and shoes,good for cloths and shoes,good for cloths and shoes,5,positive,0,False,5,2026-04-02 22:22:52+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,-1,True,4.686575,7.255443,0.8622643,5.81275,2.6237707,6.789001,5.589814,2.5258896,3.5966926,4.929987,False,-0.0985530104292346,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,App Crash / UX Bug,0.5750172768955609,0.0,Low,We are sorry for this experience regarding App Crash / UX Bug. Please share your order ID via in-app support so our team can resolve this quickly.,0.64
10,cfb03f99-593b-44ca-a302-63adddc603f3,Myntra,google_play,en,en,False,nyc experience always with myntra,nyc experience always with myntra,nyc experience always with myntra,4,positive,0,False,5,2026-04-02 22:19:04+00:00,2026-03-30/2026-04-05,2026-04,4.2602.22,3,App Crash / UX Bug,-1,True,7.77687,5.4004073,1.0192145,6.778318,2.4127553,6.4224944,5.1708145,2.242475,2.9174583,4.629461,False,-0.0978695976953111,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Fake/Counterfeit Product,0.5523224795387772,0.0,Low,We are sorry for this experience regarding Fake/Counterfeit Product. Please share your order ID via in-app support so our team can resolve this quickly.,0.64
11,89e9a7e6-c5c7-41c4-b26e-1a0954e35e28,Myntra,google_play,en,tl,False,etna manga saman bap ra bab,etna manga saman bap ra bab,etna manga saman bap ra bab,1,complaint,0,False,6,2026-04-02 22:18:53+00:00,2026-03-30/2026-04-05,2026-04,,1,Refund & Payment Issues,2,False,9.88922,5.217329,1.6774597,6.2515135,1.9785626,5.6567883,4.6200085,2.3817832,2.1343846,3.7137175,False,-0.093492799889233,False,0.0,False,GREEN,1,1,train,Medium,0.9999989142869108,Refund & Payment Issues,0.9516339752819636,0.0066666666666666,Low,We are sorry for this experience regarding Refund & Payment Issues. Please share your order ID via in-app support so our team can resolve this quickly.,0.55
12,9e7a9f46-74c2-4025-ad29-bcf38b7a6d36,Myntra,google_play,en,en,False,I am deleting this app as I made a request for return and it has been a week now my pickup has not been completed I was given fake promises and time line for pickup.and further they are denying my refund also.,i am deleting this app as i made a request for return and it has been a week now my pickup has not been completed i was given fake promises and time line for pickup.and further they are denying my refund also.,i am deleting this app as i made a request for return and it has been a week now my pickup has not been completed i was given fake promises and time line for pickup.and further they are denying my refund also.,1,complaint,0,False,42,2026-04-02 22:17:00+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,0,Delivery Failure,3,False,5.567449,3.2623987,4.89164,6.520945,1.6053646,7.442646,5.9587393,2.6397798,3.2680874,5.927512,False,-0.0910968450593769,False,0.0,False,GREEN,1,1,train,Medium,0.9999989142869108,Delivery Failure,0.6408190435434756,0.0033333333333333,Low,We are sorry for this experience regarding Delivery Failure. Please share your order ID via in-app support so our team can resolve this quickly.,0.6045454545454545
13,91dc49aa-7214-4c3a-9bc3-728b161d6cbd,Myntra,google_play,en,af,False,good Verity,good verity,good verity,5,positive,0,False,2,2026-04-02 22:13:26+00:00,2026-03-30/2026-04-05,2026-04,,3,App Crash / UX Bug,-1,True,6.397495,5.985672,-0.30007714,6.9351597,2.3487957,6.8618236,5.358329,2.5040662,3.3144267,4.6451616,False,-0.098603211409725,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,App Crash / UX Bug,0.9674291720056808,0.0,Low,We are sorry for this experience regarding App Crash / UX Bug. Please share your order ID via in-app support so our team can resolve this quickly.,0.55
14,f80f3985-e55b-40e7-918b-02e3fd2dc653,Myntra,google_play,en,en,False,very beautiful app myntra,very beautiful app myntra,very beautiful app myntra,5,positive,0,False,4,2026-04-02 22:11:49+00:00,2026-03-30/2026-04-05,2026-04,4.2603.10,2,Fake/Counterfeit Product,8,False,2.3775706,8.261342,2.4066648,5.320904,2.8077152,6.5245996,6.3660455,2.0426228,4.4095654,6.494006,False,-0.0124665891727152,False,0.0,False,GREEN,0,0,train,Low,0.9999994830007304,Fake/Counterfeit Product,0.9705449107784804,0.0,Low,We are sorry for this experience regarding Fake/Counterfeit Product. Please share your order ID via in-app support so our team can resolve this quickly.,0.6625
