component,explained_variance,cumulative_explained_variance
1,0.13252243,0.13252243
2,0.097706646,0.23022908
3,0.07086702,0.30109608
4,0.048250582,0.34934667
5,0.033561092,0.38290775
6,0.029525694,0.41243345
7,0.02254937,0.4349828
8,0.020540567,0.45552337
9,0.020092698,0.47561607
10,0.019269431,0.4948855
11,0.017120304,0.5120058
12,0.015654033,0.52765983
13,0.015291949,0.54295176
14,0.013946489,0.55689824
15,0.013706792,0.57060504
16,0.012235342,0.5828404
17,0.011732485,0.59457284
18,0.010946346,0.6055192
19,0.010281544,0.61580074
20,0.009455517,0.62525624
21,0.009137538,0.63439375
22,0.0088946065,0.6432884
23,0.0083438,0.6516322
24,0.007985045,0.65961725
25,0.007744844,0.6673621
26,0.0074615236,0.67482364
27,0.007075922,0.68189955
28,0.006672817,0.68857235
29,0.006628433,0.6952008
30,0.006270862,0.7014717
31,0.0060566487,0.70752835
32,0.005795373,0.7133237
33,0.005710439,0.71903414
34,0.0056272694,0.7246614
35,0.005368041,0.73002946
36,0.005230613,0.73526007
37,0.0051252353,0.7403853
38,0.0049657854,0.7453511
39,0.0049279127,0.750279
40,0.004740759,0.7550198
41,0.0047295527,0.75974935
42,0.004650556,0.7643999
43,0.004431495,0.7688314
44,0.004315312,0.7731467
45,0.004229057,0.77737576
46,0.004039498,0.7814153
47,0.0039634095,0.7853787
48,0.0038308685,0.78920954
49,0.003795932,0.79300547
50,0.003657272,0.79666275
