generator,quality_score,route_category
template_v1,0.5840909090909091,Refund & Payment Issues
template_v1,0.55,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.5874999999999999,Refund & Payment Issues
template_v1,0.6086956521739131,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5882978723404255,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.625,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.5874999999999999,Fake/Counterfeit Product
template_v1,0.6,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.6625,Delivery Failure
template_v1,0.6142857142857143,App Crash / UX Bug
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5714285714285714,Delivery Failure
template_v1,0.6142857142857143,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.73,App Crash / UX Bug
template_v1,0.5806818181818182,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.60625,Fake/Counterfeit Product
template_v1,0.5921875,Refund & Payment Issues
template_v1,0.5833333333333333,Refund & Payment Issues
template_v1,0.6499999999999999,Delivery Failure
template_v1,0.595,Refund & Payment Issues
template_v1,0.55,Refund & Payment Issues
template_v1,0.5860000000000001,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5821428571428571,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.5673076923076923,Delivery Failure
template_v1,0.595,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.7,App Crash / UX Bug
template_v1,0.6625,Delivery Failure
template_v1,0.55,Delivery Failure
template_v1,0.7,App Crash / UX Bug
template_v1,0.5704545454545454,Fake/Counterfeit Product
template_v1,0.55,Delivery Failure
template_v1,0.6625,App Crash / UX Bug
template_v1,0.625,Delivery Failure
template_v1,0.7,Refund & Payment Issues
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.5691489361702127,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.7749999999999999,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,App Crash / UX Bug
template_v1,0.595,Fake/Counterfeit Product
template_v1,0.7,App Crash / UX Bug
template_v1,0.55,Fake/Counterfeit Product
template_v1,0.55,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.5915384615384616,Refund & Payment Issues
template_v1,0.55,Delivery Failure
template_v1,0.55,Fake/Counterfeit Product
